,proportion,type,ROI,net,layer
288,0.620379865135731,perceptual,EVC,dctrained,ReLu7
289,-0.042987864237676185,semantic,EVC,dctrained,ReLu7
290,2.937732411732414,perceptual,EVC,dctrained,ReLu7
291,0.022068979796005736,semantic,EVC,dctrained,ReLu7
292,0.7547360188334672,perceptual,EVC,dctrained,ReLu7
293,0.03042858219380581,semantic,EVC,dctrained,ReLu7
294,2.105353030747579,perceptual,EVC,dctrained,ReLu7
295,0.03543477528012944,semantic,EVC,dctrained,ReLu7
296,0.6244378738440359,perceptual,EVC,dctrained,ReLu7
297,-0.03564207341769972,semantic,EVC,dctrained,ReLu7
298,0.8664286066544545,perceptual,EVC,dctrained,ReLu7
299,-0.00734723219782162,semantic,EVC,dctrained,ReLu7
300,-8.68407233602961,perceptual,EVC,alexnettrained,ReLu2
301,-0.265469298196149,semantic,EVC,alexnettrained,ReLu2
302,-0.6742423198954215,perceptual,EVC,alexnettrained,ReLu2
303,-0.05395127033998178,semantic,EVC,alexnettrained,ReLu2
304,1.0129069566319209,perceptual,EVC,alexnettrained,ReLu2
305,0.10621145328843526,semantic,EVC,alexnettrained,ReLu2
306,0.5603896223071656,perceptual,EVC,alexnettrained,ReLu2
307,-0.017222099405434513,semantic,EVC,alexnettrained,ReLu2
308,1.3216584408896088,perceptual,EVC,alexnettrained,ReLu2
309,1.1535519453480476,semantic,EVC,alexnettrained,ReLu2
310,-1.2546513187401531,perceptual,EVC,alexnettrained,ReLu2
311,-0.0507405578096297,semantic,EVC,alexnettrained,ReLu2
312,1.243240486394319,perceptual,EVC,alexnettrained,ReLu2
313,0.01818936440162323,semantic,EVC,alexnettrained,ReLu2
314,2.6369019018852784,perceptual,EVC,alexnettrained,ReLu2
315,0.16472884239457902,semantic,EVC,alexnettrained,ReLu2
316,2.018856374816879,perceptual,EVC,alexnettrained,ReLu2
317,0.04274913730227501,semantic,EVC,alexnettrained,ReLu2
318,0.8368226813920474,perceptual,EVC,alexnettrained,ReLu2
319,0.013169775160535174,semantic,EVC,alexnettrained,ReLu2
320,-6.72588212743826,perceptual,EVC,alexnettrained,ReLu2
321,-0.2561361683662001,semantic,EVC,alexnettrained,ReLu2
