,corr,p,layer,ROI,state
62,0.052532563836603485,0.2873712628737126,ReLu2,EVC,randomstate
63,0.17037363855529078,0.0004999500049995,ReLu2,EVC,randomstate
64,0.11800795804036984,0.0008999100089991,ReLu2,EVC,randomstate
65,0.04635476934200258,0.4256574342565743,ReLu2,EVC,randomstate
66,0.3463190461530679,9.999000099990002e-05,ReLu2,EVC,randomstate
67,0.21403181971232882,9.999000099990002e-05,ReLu2,EVC,randomstate
68,0.3109128645026005,9.999000099990002e-05,ReLu2,EVC,randomstate
69,0.24793199982905914,9.999000099990002e-05,ReLu2,EVC,randomstate
70,0.3294959248334603,9.999000099990002e-05,ReLu2,EVC,randomstate
71,0.0420496523323982,0.49745025497450257,ReLu2,EVC,randomstate
72,0.265791100376277,9.999000099990002e-05,ReLu2,EVC,randomstate
73,0.19063701944849798,0.0033996600339966003,ReLu2,EVC,randomstate
74,0.2539327740935871,0.00019998000199980003,ReLu2,EVC,randomstate
75,0.31327464252088016,9.999000099990002e-05,ReLu2,IT,randomstate
76,0.08727056287149289,0.17518248175182483,ReLu2,IT,randomstate
77,0.13384190285264236,0.015598440155984402,ReLu2,IT,randomstate
78,0.30899874923582843,9.999000099990002e-05,ReLu2,IT,randomstate
79,0.13233025155260913,0.030096990300969902,ReLu2,IT,randomstate
80,0.082460041268562,0.133986601339866,ReLu2,IT,randomstate
81,0.24595583038509466,9.999000099990002e-05,ReLu2,IT,randomstate
82,0.2073057429980331,0.0013998600139986002,ReLu2,IT,randomstate
83,0.3625035617942937,9.999000099990002e-05,ReLu2,IT,randomstate
84,0.13478417929763525,0.0005999400059994001,ReLu2,IT,randomstate
85,0.27074230335222166,9.999000099990002e-05,ReLu2,IT,randomstate
86,0.16122444359641508,0.013598640135986401,ReLu2,IT,randomstate
87,0.19279963739703715,9.999000099990002e-05,ReLu2,IT,randomstate
88,0.3757745416767481,9.999000099990002e-05,ReLu2,IT,randomstate
89,0.26882402691658014,9.999000099990002e-05,ReLu2,IT,randomstate
90,-0.04006888687046432,0.5068493150684932,ReLu2,EVC,100epochs
91,-0.09910826752356217,0.05399460053994601,ReLu2,EVC,100epochs
92,0.0001303216412696735,0.9982001799820018,ReLu2,EVC,100epochs
93,0.14726959184756327,0.0013998600139986002,ReLu2,EVC,100epochs
94,-0.018267324464928684,0.5792420757924207,ReLu2,EVC,100epochs
95,-0.04725380251437496,0.40005999400059994,ReLu2,EVC,100epochs
96,0.05791575356484575,0.20327967203279673,ReLu2,EVC,100epochs
97,-0.025635554362452653,0.587941205879412,ReLu2,EVC,100epochs
98,0.08007908391825619,0.12138786121387861,ReLu2,EVC,100epochs
99,0.08070986885684486,0.11558844115588442,ReLu2,EVC,100epochs
100,-0.056467069003434324,0.2786721327867213,ReLu2,EVC,100epochs
101,0.04280844732446247,0.45555444455554445,ReLu2,EVC,100epochs
102,-0.03630350332025959,0.49365063493650635,ReLu2,EVC,100epochs
103,0.2935698449284715,9.999000099990002e-05,ReLu2,EVC,100epochs
104,0.103195096011035,0.0628937106289371,ReLu2,EVC,100epochs
105,0.03455852717532579,0.532046795320468,ReLu2,IT,100epochs
106,-0.03692954614597809,0.5367463253674633,ReLu2,IT,100epochs
107,0.05052273792302955,0.31186881311868814,ReLu2,IT,100epochs
108,0.2313582425458127,9.999000099990002e-05,ReLu2,IT,100epochs
109,0.0888457309337272,0.1277872212778722,ReLu2,IT,100epochs
110,-0.05347885600996563,0.28947105289471053,ReLu2,IT,100epochs
111,0.01592067814828373,0.7367263273672633,ReLu2,IT,100epochs
112,0.09472624995372723,0.10868913108689131,ReLu2,IT,100epochs
113,0.1405391596074639,0.0093990600939906,ReLu2,IT,100epochs
114,0.10678438547140545,0.006399360063993601,ReLu2,IT,100epochs
115,0.09687034673349423,0.033896610338966106,ReLu2,IT,100epochs
116,0.013248008218013219,0.825917408259174,ReLu2,IT,100epochs
117,0.18615385054650918,9.999000099990002e-05,ReLu2,IT,100epochs
118,0.05007061837724837,0.36566343365663434,ReLu2,IT,100epochs
119,0.09237933795049907,0.0433956604339566,ReLu2,IT,100epochs
120,0.15274358536442373,0.0057994200579942,ReLu3,EVC,randomstate
