,corr,p,layer,ROI,state
77,0.1352108784942866,0.003999600039996,ReLu2,IT,100epochs
78,0.14499818800400543,0.0015998400159984002,ReLu2,IT,100epochs
79,0.12396098250356959,0.0091990800919908,ReLu2,IT,100epochs
80,0.37429643870664986,9.999000099990002e-05,ReLu3,EVC,randomstate
81,0.4067014220954939,9.999000099990002e-05,ReLu3,EVC,randomstate
82,0.39940326556189254,9.999000099990002e-05,ReLu3,EVC,randomstate
83,0.4039228003149592,9.999000099990002e-05,ReLu3,EVC,randomstate
84,0.4215082889986946,9.999000099990002e-05,ReLu3,EVC,randomstate
85,0.40052929847160373,9.999000099990002e-05,ReLu3,EVC,randomstate
86,0.4161346891818655,9.999000099990002e-05,ReLu3,EVC,randomstate
87,0.35766562212125536,9.999000099990002e-05,ReLu3,EVC,randomstate
88,0.4148575884187781,9.999000099990002e-05,ReLu3,EVC,randomstate
89,0.426758355188335,9.999000099990002e-05,ReLu3,EVC,randomstate
90,0.35109836692408275,9.999000099990002e-05,ReLu3,IT,randomstate
91,0.37134981024425784,9.999000099990002e-05,ReLu3,IT,randomstate
92,0.3716892932391649,9.999000099990002e-05,ReLu3,IT,randomstate
93,0.35691358872185386,9.999000099990002e-05,ReLu3,IT,randomstate
94,0.34169823965816437,9.999000099990002e-05,ReLu3,IT,randomstate
95,0.3494082910506081,9.999000099990002e-05,ReLu3,IT,randomstate
96,0.35996394489097644,9.999000099990002e-05,ReLu3,IT,randomstate
97,0.34646908807013665,9.999000099990002e-05,ReLu3,IT,randomstate
98,0.35514530168764485,9.999000099990002e-05,ReLu3,IT,randomstate
99,0.37897407726314475,9.999000099990002e-05,ReLu3,IT,randomstate
100,0.17362507006067468,0.00019998000199980003,ReLu3,EVC,100epochs
101,0.12459367011147032,0.0103989601039896,ReLu3,EVC,100epochs
102,0.1318480735944997,0.0096990300969903,ReLu3,EVC,100epochs
103,0.16326087530553635,0.0008999100089991,ReLu3,EVC,100epochs
104,0.10402029939729446,0.040995900409959006,ReLu3,EVC,100epochs
105,0.09676071731629389,0.05929407059294071,ReLu3,EVC,100epochs
106,0.18221473676450026,9.999000099990002e-05,ReLu3,EVC,100epochs
107,0.17421952039580704,0.0004999500049995,ReLu3,EVC,100epochs
108,0.16795753090274537,0.0007999200079992001,ReLu3,EVC,100epochs
109,0.186886476064527,0.00029997000299970003,ReLu3,EVC,100epochs
110,0.20061700359228507,9.999000099990002e-05,ReLu3,IT,100epochs
111,0.19663540024337536,9.999000099990002e-05,ReLu3,IT,100epochs
112,0.18938265059388645,9.999000099990002e-05,ReLu3,IT,100epochs
113,0.18756014091988563,9.999000099990002e-05,ReLu3,IT,100epochs
114,0.178320338328927,9.999000099990002e-05,ReLu3,IT,100epochs
115,0.15815058545308558,0.00019998000199980003,ReLu3,IT,100epochs
116,0.2123276161511118,9.999000099990002e-05,ReLu3,IT,100epochs
117,0.21465264124044675,9.999000099990002e-05,ReLu3,IT,100epochs
118,0.19906929139178428,9.999000099990002e-05,ReLu3,IT,100epochs
119,0.2196076683690285,9.999000099990002e-05,ReLu3,IT,100epochs
120,0.3807463350356919,9.999000099990002e-05,ReLu4,EVC,randomstate
121,0.43830089873366157,9.999000099990002e-05,ReLu4,EVC,randomstate
122,0.422126231328427,9.999000099990002e-05,ReLu4,EVC,randomstate
